[2020/12/22 12:55:31] start=0, train=21670, val=224, host=ludwig, batch=30
[2020/12/22 12:55:31] batch=8, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 13:41:46] steps=4000, epe=15.388761255235176, total_time=0.65
[2020/12/22 13:42:19] steps=4050, epe=15.38826466284641, total_time=0.66
[2020/12/22 13:42:53] steps=4100, epe=15.314052158843303, total_time=0.65
[2020/12/22 13:43:27] steps=4150, epe=15.228917583124593, total_time=0.67
[2020/12/22 13:44:01] steps=4200, epe=15.313590874424655, total_time=0.65
[2020/12/22 13:44:34] steps=4250, epe=15.30558817741266, total_time=0.66
[2020/12/22 13:45:09] steps=4300, epe=15.330302612927312, total_time=0.65
[2020/12/22 13:45:42] steps=4350, epe=15.29199365587628, total_time=0.66
[2020/12/22 13:46:17] steps=4400, epe=15.258408057382926, total_time=0.65
[2020/12/22 13:46:49] steps=4450, epe=15.221110371967159, total_time=0.66
[2020/12/22 13:47:24] steps=4500, epe=15.201926633189325, total_time=0.65
[2020/12/22 13:47:57] steps=4550, epe=15.234922949078745, total_time=0.66
[2020/12/22 13:48:32] steps=4600, epe=15.18219299203864, total_time=0.66
[2020/12/22 13:49:05] steps=4650, epe=15.059139662972267, total_time=0.66
[2020/12/22 13:49:40] steps=4700, epe=14.977465761270638, total_time=0.65
[2020/12/22 13:50:13] steps=4750, epe=14.968665810616816, total_time=0.66
[2020/12/22 13:50:47] steps=4800, epe=15.018931033833166, total_time=0.65
[2020/12/22 13:51:20] steps=4850, epe=14.98726754767019, total_time=0.66
[2020/12/22 13:51:55] steps=4900, epe=15.02995067403551, total_time=0.65
[2020/12/22 13:52:28] steps=4950, epe=14.980775957605566, total_time=0.66
[2020/12/22 13:53:02] steps=5000, epe=14.988359500277184, total_time=0.65
[2020/12/22 13:53:20] steps=5000, sintel.clean=15.764555931091309, sintel.final=15.885016441345215
[2020/12/22 13:53:53] steps=5050, epe=14.964431007385365, total_time=0.73
[2020/12/22 13:54:28] steps=5100, epe=14.90469533568847, total_time=0.66
[2020/12/22 13:55:01] steps=5150, epe=14.901278119158514, total_time=0.67
[2020/12/22 13:55:36] steps=5200, epe=14.957305370007006, total_time=0.65
